utility,niter,time
8625.09409520611,60,0.003712177276611328
8452.314483370603,90,0.006550312042236328
8392.794296054055,63,0.00737309455871582
7985.884517191978,50,0.004835844039916992
8238.168951495107,53,0.0054509639739990234
8501.075128429102,84,0.005124568939208984
8300.38384152621,68,0.0038428306579589844
8672.928266216695,82,0.004506111145019531
7659.974534922345,52,0.002828359603881836
8228.35681253325,68,0.0036308765411376953
7879.992886468575,69,0.003813028335571289
8293.657303628079,76,0.00395512580871582
8704.078041166274,66,0.0033044815063476562
8041.544856477919,54,0.0026259422302246094
8431.744618209825,46,0.0022568702697753906
8706.312567150206,75,0.0037288665771484375
8879.910868040031,68,0.003355741500854492
8944.047864667344,79,0.003710031509399414
7834.046197450029,81,0.003857851028442383
8212.98707978443,90,0.004201650619506836
8899.96579394098,78,0.0036640167236328125
8437.973771622841,70,0.003337860107421875
8964.956242989141,62,0.002942800521850586
8384.59403495446,91,0.004328489303588867
8989.836802338363,87,0.004170656204223633
9081.170171612874,85,0.004138946533203125
9761.551628588531,96,0.007700204849243164
8419.078927371265,60,0.005899190902709961
8308.673699120885,57,0.005669116973876953
7452.701937291296,63,0.0032851696014404297
7948.5154991777235,42,0.0022258758544921875
7950.2906704932175,65,0.0032684803009033203
8860.661564081955,73,0.003693103790283203
7997.552667541593,69,0.003381967544555664
9224.62869836962,79,0.003931760787963867
9051.21896184131,105,0.005375862121582031
8405.000844618815,79,0.003760814666748047
8821.37111077187,75,0.003518342971801758
8607.387189105186,63,0.002980947494506836
10079.875912176693,74,0.0035390853881835938
9070.513811396631,76,0.0036399364471435547
8398.004872787911,75,0.003583192825317383
8692.492972646924,74,0.0035507678985595703
8291.564307065273,64,0.0030460357666015625
8864.559150070541,73,0.0034706592559814453
8458.875205315528,81,0.0038378238677978516
9898.684098500955,81,0.0038199424743652344
8406.979532797213,46,0.0021736621856689453
8713.630757625484,65,0.0030350685119628906
8792.631268710007,91,0.004232645034790039
8453.316040403965,84,0.0038771629333496094
8803.966708302378,97,0.0049207210540771484
9185.350123574115,79,0.007201194763183594
8751.449788519007,67,0.006409168243408203
8505.463488560305,59,0.005731344223022461
9266.586487756802,94,0.0050618648529052734
8648.359456206184,53,0.0027256011962890625
7835.284333869592,72,0.0035331249237060547
7969.727325494263,47,0.0022928714752197266
8679.275939128474,70,0.0034945011138916016
8531.67387270823,75,0.003915309906005859
8724.536355494058,70,0.0036520957946777344
9124.314499728815,78,0.0037763118743896484
8398.000078765832,66,0.003121614456176758
8201.588358742456,76,0.003650188446044922
8255.264058897052,65,0.003270864486694336
9575.635612275322,97,0.004583597183227539
8361.021135328312,72,0.0034492015838623047
8620.279297571073,82,0.003897428512573242
8925.864046891329,76,0.0036437511444091797
7806.508266214776,65,0.0032057762145996094
8467.421875454414,65,0.003122568130493164
8838.328589074912,79,0.0037717819213867188
9181.238713692204,79,0.003779888153076172
9044.434634906898,90,0.0043332576751708984
8221.586828123098,68,0.003177165985107422
8049.961686996736,83,0.004142045974731445
9243.385328245382,77,0.006143093109130859
8212.391579004112,55,0.005217790603637695
8710.830549679627,93,0.008725166320800781
9017.78524655634,82,0.004222869873046875
9687.220396290577,107,0.005257844924926758
7983.33208796195,67,0.003188610076904297
8556.53490409202,72,0.003570079803466797
9029.533936194748,83,0.0043792724609375
8500.781176223463,76,0.003603219985961914
8215.885042593576,55,0.0026216506958007812
8154.186091758984,83,0.003910064697265625
9182.119087732088,67,0.003300905227661133
8623.057270192723,72,0.0035986900329589844
7838.899914481293,73,0.00348663330078125
7327.284002816063,75,0.0035223960876464844
8144.173350257179,53,0.002581357955932617
8536.624728520255,80,0.003833770751953125
8440.926665511444,76,0.0036163330078125
8459.698772433825,76,0.0035817623138427734
8717.554756289388,59,0.002798318862915039
8499.46649645752,67,0.003263235092163086
8202.347114789693,71,0.0034165382385253906
8404.637049330246,67,0.003191709518432617
9092.797752830702,107,0.005086421966552734
7691.668616954952,68,0.0032935142517089844
7871.409452274168,52,0.0032372474670410156
7899.971609475719,79,0.007745265960693359
8898.848598204459,68,0.006204366683959961
9214.205622242087,58,0.0038123130798339844
8178.97734765026,53,0.002641916275024414
8274.058554653506,45,0.002245664596557617
8696.171920305269,74,0.003488779067993164
8968.727395081873,65,0.003114938735961914
8813.903836864109,77,0.003710031509399414
9106.209579062306,72,0.0037996768951416016
9089.93149147127,85,0.004163026809692383
8981.363921290125,77,0.0036635398864746094
9039.156204906121,65,0.003118276596069336
7387.528078459165,55,0.0027310848236083984
8495.250596668437,79,0.0037560462951660156
8571.773882199777,76,0.0035889148712158203
7938.157125842252,80,0.003770589828491211
9020.90362735153,57,0.002706766128540039
8487.463145429989,70,0.0032892227172851562
8380.603064451785,56,0.002653837203979492
8908.293037560014,71,0.0033817291259765625
9339.99163284338,78,0.0037004947662353516
8080.367595495361,98,0.004658222198486328
9564.522833296698,79,0.0037615299224853516
8994.626031907705,91,0.004332542419433594
8096.033156832659,59,0.002794027328491211
7912.980709176636,73,0.0037386417388916016
8373.225122596567,71,0.004719734191894531
8373.092783329208,79,0.008777618408203125
9038.016096327972,103,0.008838415145874023
9172.048121339503,72,0.004001140594482422
8387.945766259712,53,0.002794981002807617
8500.223483815049,58,0.003222227096557617
8202.175965283905,72,0.00434422492980957
8932.943649930832,77,0.0047054290771484375
9797.489256194382,98,0.005036354064941406
8513.325854659799,58,0.002992391586303711
8618.85540643314,97,0.005011558532714844
8469.240711818999,81,0.0038754940032958984
8945.348143301042,95,0.004598855972290039
8129.102865015275,62,0.002942323684692383
8553.466688467193,70,0.0033669471740722656
8718.744508060343,75,0.0036203861236572266
8678.535203778973,71,0.0033974647521972656
8781.474867364508,85,0.0040283203125
8589.682480282992,86,0.004069328308105469
8049.083512548443,94,0.004416465759277344
8876.548743578014,86,0.004128456115722656
8430.199738974188,73,0.00345611572265625
8769.851522672716,76,0.003740549087524414
8810.40988032454,98,0.00468754768371582
9129.492274151766,81,0.0038115978240966797
8616.99068278942,58,0.0030670166015625
8335.482695259076,65,0.004654884338378906
8380.634104953333,49,0.004846334457397461
8808.351520724465,59,0.0049533843994140625
7837.474628425094,59,0.005065202713012695
8339.717689193589,65,0.0039014816284179688
8264.992716375395,71,0.0037050247192382812
8889.040598796611,94,0.004694461822509766
8707.109357780391,99,0.0049664974212646484
7785.724565729935,51,0.0028412342071533203
8533.3236356634,90,0.004376888275146484
8984.523431765145,59,0.002827167510986328
8383.248175583307,68,0.0033271312713623047
7944.858817553009,70,0.0033941268920898438
8706.034320638033,51,0.0025529861450195312
8463.464664520732,70,0.0033295154571533203
7935.786177122096,64,0.0030341148376464844
8712.045299159103,54,0.002634286880493164
9005.259216164965,62,0.0029594898223876953
8748.98432457351,102,0.004982471466064453
8576.620672094645,59,0.0027806758880615234
8073.793132890174,76,0.0036153793334960938
8178.166470098327,83,0.003983020782470703
8225.462557934261,78,0.003765106201171875
8633.29706514336,61,0.0028433799743652344
8263.717110945923,53,0.0025005340576171875
8352.491318065495,72,0.003422975540161133
9219.807409801286,77,0.004059314727783203
8457.094993584753,56,0.0046803951263427734
8903.883128535574,91,0.009270191192626953
8345.57661021517,78,0.007485866546630859
9136.083653144486,63,0.00395512580871582
8635.352373365056,53,0.0026166439056396484
8550.598175110375,63,0.0032248497009277344
9219.52389652784,69,0.0033416748046875
8892.02430048803,66,0.003451108932495117
8530.174479368603,84,0.003980875015258789
8167.155478358564,71,0.0033600330352783203
7792.680975569749,53,0.0026311874389648438
8482.092072160201,63,0.0029888153076171875
8083.203904556295,92,0.0046694278717041016
9540.586301941392,83,0.003896474838256836
7552.170968328281,53,0.002524137496948242
8886.242383938874,80,0.004038572311401367
9054.05640894103,78,0.003678560256958008
8867.273832375806,58,0.0027894973754882812
