,utility,niter,time
0,31069.833145544028,166,0.42243170738220215
1,31950.093794286335,203,0.5153234004974365
2,31096.1112159959,174,0.43550539016723633
3,30151.308785001485,128,0.32096219062805176
4,30732.16399706515,190,0.4777710437774658
5,32139.243634410395,187,0.45979833602905273
6,28415.96156169192,151,0.3845021724700928
7,31525.575827250726,175,0.44010114669799805
8,31635.6564039831,136,0.3343515396118164
9,30693.439760803507,146,0.3650689125061035
10,30554.784504628456,154,0.388538122177124
11,30425.57056154747,169,0.42102479934692383
12,28851.078600873923,110,0.29692530632019043
13,30358.056606091344,178,0.44496870040893555
14,34092.40562433538,195,0.48087501525878906
15,31722.988445713232,151,0.3762016296386719
16,30454.11943375344,142,0.35752248764038086
17,29712.298370971264,173,0.43633151054382324
18,29775.936800417585,150,0.37859654426574707
19,30228.78449862686,135,0.3404209613800049
20,31731.523721943606,158,0.3989415168762207
21,31663.11077874831,169,0.4277520179748535
22,31250.703254476008,142,0.3538806438446045
23,30536.884187470634,163,0.40874767303466797
24,31136.245116926926,122,0.3110065460205078
25,31013.014186683245,169,0.4294126033782959
26,30387.233937266898,161,0.4087367057800293
27,32368.50585341259,150,0.38340139389038086
28,33010.82944207317,154,0.3938255310058594
29,30384.264344735893,163,0.41492486000061035
30,30423.83951104313,141,0.3510782718658447
31,33618.57019797907,200,0.49507999420166016
32,28019.76759185645,150,0.3777790069580078
33,32189.64723805197,128,0.31305575370788574
34,32859.57210996502,165,0.4187462329864502
35,27292.655772032354,111,0.282742977142334
36,31158.54872141601,151,0.38857460021972656
37,29144.30539887961,155,0.3876681327819824
38,30589.49278997781,184,0.4653337001800537
39,29596.242313558883,150,0.38992738723754883
40,33733.14008968746,201,0.5263757705688477
41,27719.09517732379,125,0.3188908100128174
42,30979.72322661878,150,0.40325093269348145
43,29620.09279386535,132,0.3643338680267334
44,31756.055612012253,156,0.41933274269104004
45,31288.89026390725,156,0.39456748962402344
46,31307.57440801199,159,0.4085218906402588
47,32003.378138340715,144,0.3608675003051758
48,32662.971447111173,147,0.3658437728881836
49,31283.55493973901,176,0.4519517421722412
50,29371.00743046363,152,0.4026660919189453
51,30963.770314512018,171,0.4462699890136719
